Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
8 1000.00 1379.00 99.587870 49.0374 0.702717 14.9811 1.79218 0 6.87002 0.183317 9.28808 0 0 11.9869 1.8128 0.621242 0.101843 2.62238
17 4000.00 1352.00 100.001703 48.8345 0.699809 14.9191 1.61217 0 6.99689 0.182559 9.24964 0 0 11.9373 1.8053 0.618671 0.101422 3.042653
18 7000.00 1349.00 99.986263 48.842 0.699917 14.9214 1.4583 0 7.13665 0.182587 9.25107 0 0 11.9392 1.80558 0.618767 0.101437 3.04312
18 10000.00 1349.00 99.972505 48.8487 0.700013 14.9235 1.32114 0 7.26124 0.182612 9.25234 0 0 11.9408 1.80583 0.618852 0.101451 3.04353
19 7000.00 1346.00 99.986281 48.842 0.699916 14.9214 1.45848 0 7.13649 0.182587 9.25107 0 0 11.9392 1.80558 0.618767 0.101437 3.04312
9 1000.00 1376.00 99.589766 49.0365 0.702703 14.9808 1.79257 0 6.86951 0.183314 9.2879 0 0 11.9867 1.81277 0.62123 0.101841 2.62419
19 10000.00 1346.00 99.972506 48.8487 0.700013 14.9235 1.32115 0 7.26122 0.182612 9.25234 0 0 11.9408 1.80583 0.618852 0.101451 3.04353
20 7000.00 1343.00 99.986300 48.842 0.699916 14.9214 1.45867 0 7.13632 0.182587 9.25107 0 0 11.9392 1.80558 0.618767 0.101437 3.04311
10 1000.00 1373.00 99.591672 49.0355 0.70269 14.9805 1.79297 0 6.86899 0.18331 9.28772 0 0 11.9865 1.81274 0.621218 0.101839 2.62601
20 10000.00 1343.00 99.972509 48.8487 0.700013 14.9235 1.32118 0 7.2612 0.182612 9.25234 0 0 11.9408 1.80583 0.618852 0.101451 3.04353
21 7000.00 1340.00 99.986321 48.842 0.699916 14.9214 1.45888 0 7.13613 0.182587 9.25107 0 0 11.9391 1.80558 0.618766 0.101437 3.04311
11 1000.00 1370.00 99.593589 49.0346 0.702676 14.9802 1.79339 0 6.86845 0.183307 9.28755 0 0 11.9862 1.8127 0.621206 0.101837 2.62784
21 10000.00 1340.00 99.972514 48.8487 0.700013 14.9235 1.32122 0 7.26116 0.182612 9.25234 0 0 11.9408 1.80583 0.618852 0.101451 3.04353
22 7000.00 1337.00 99.986344 48.842 0.699916 14.9214 1.4591 0 7.13593 0.182587 9.25106 0 0 11.9391 1.80558 0.618766 0.101437 3.04311
22 4000.00 1337.00 100.001899 48.8344 0.699807 14.9191 1.61413 0 6.99511 0.182558 9.24962 0 0 11.9373 1.8053 0.61867 0.101421 3.0426453
23 7000.00 1334.00 99.986367 48.842 0.699916 14.9214 1.45934 0 7.13571 0.182587 9.25106 0 0 11.9391 1.80558 0.618766 0.101437 3.04311
23 10000.00 1334.00 99.972526 48.8487 0.700013 14.9235 1.32135 0 7.26104 0.182612 9.25234 0 0 11.9408 1.80583 0.618852 0.101451 3.04353
24 7000.00 1331.00 99.986393 48.8419 0.699916 14.9214 1.45959 0 7.13548 0.182587 9.25106 0 0 11.9391 1.80558 0.618766 0.101437 3.04311
